order_id,customer_age,order_value,items_in_order,region,last_updated
1,42.0,226.76,4,South,2026-02-25
2,26.0,137.21,4,North,2026-02-25
3,47.0,71.49,3,South,2026-02-27
4,49.0,57.2,3,South,2026-02-26
5,18.0,114.2,6,West,2026-02-28
6,22.0,166.3,2,North,2026-03-01
7,40.0,228.78,7,West,2026-02-28
8,34.0,134.12,3,South,2026-02-27
9,38.0,78.93,5,South,2026-03-01
10,28.0,148.43,3,South,2026-02-28
11,49.0,130.25,3,South,2026-03-01
12,47.0,79.16,5,North,2026-02-26
13,39.0,127.63,5,South,2026-02-25
14,52.0,125.97,3,North,2026-02-25
15,44.0,71.18,6,South,2026-02-28
16,28.0,48.74,4,East,2026-02-27
17,42.0,118.47,3,South,2026-02-25
18,26.0,30.18,3,West,2026-02-27
19,49.0,24.2,6,North,2026-02-28
20,37.0,94.63,6,West,2026-02-28
21,36.0,116.22,3,East,2026-02-26
22,30.0,94.11,7,West,2026-02-27
23,53.0,101.71,6,West,2026-02-25
24,36.0,114.83,5,North,2026-02-25
25,33.0,197.57,3,South,2026-03-01
26,34.0,135.72,3,North,2026-02-26
27,44.0,132.9,2,West,2026-02-28
28,42.0,89.36,4,East,2026-02-27
29,43.0,91.83,3,North,2026-02-28
30,43.0,66.75,2,West,2026-02-28
31,64.0,99.55,4,North,2026-02-28
32,33.0,28.78,6,East,2026-03-01
33,32.0,198.18,5,East,2026-02-26
34,28.0,36.66,7,North,2026-03-01
35,45.0,135.53,5,East,2026-02-28
36,52.0,181.73,10,West,2026-03-01
37,37.0,135.31,3,North,2026-03-01
38,28.0,307.77,4,South,2026-02-28
39,28.0,8.43,3,North,2026-02-25
40,46.0,51.43,4,East,2026-02-25
41,47.0,179.7,3,North,2026-02-28
42,45.0,23.25,3,West,2026-02-27
43,30.0,37.68,5,West,2026-02-25
44,41.0,109.76,3,North,2026-02-28
45,39.0,78.2,5,South,2026-02-25
46,41.0,104.98,8,East,2026-03-01
47,48.0,83.32,4,East,2026-02-28
48,41.0,89.12,3,South,2026-02-28
49,46.0,41.06,7,North,2026-03-01
50,39.0,87.02,5,North,2026-02-25
51,41.0,54.37,3,West,2026-02-25
52,46.0,60.59,2,South,2026-02-28
53,21.0,134.25,2,West,2026-02-25
54,34.0,22.08,3,South,2026-02-26
55,32.0,4.71,4,West,2026-02-25
56,30.0,127.51,5,North,2026-02-25
57,35.0,87.09,5,North,2026-02-27
58,56.0,181.59,4,West,2026-03-01
59,28.0,38.59,3,West,2026-02-25
60,50.0,69.44,2,South,2026-02-26
61,18.0,80.48,5,South,2026-02-25
62,34.0,45.5,7,South,2026-02-25
63,40.0,34.33,3,South,2026-03-01
64,45.0,132.04,6,North,2026-02-27
65,47.0,19.95,1,West,2026-03-01
66,48.0,29.34,4,North,2026-03-01
67,34.0,67.64,5,East,2026-02-25
68,32.0,142.89,5,North,2026-02-25
69,48.0,48.06,1,North,2026-02-25
70,36.0,43.05,4,East,2026-02-25
71,23.0,64.53,5,South,2026-02-26
72,24.0,98.05,3,East,2026-02-27
73,27.0,56.8,3,North,2026-02-25
74,44.0,155.65,3,West,2026-02-27
75,40.0,160.17,3,East,2026-02-26
76,46.0,67.64,2,West,2026-02-28
77,33.0,255.03,4,North,2026-02-26
78,40.0,79.1,4,South,2026-02-25
79,46.0,156.51,3,South,2026-02-26
80,34.0,96.06,6,South,2026-02-27
81,43.0,94.75,6,North,2026-03-01
82,30.0,15.37,6,North,2026-03-01
83,34.0,27.01,3,South,2026-02-26
84,33.0,59.22,2,North,2026-02-26
85,24.0,159.35,5,South,2026-02-26
86,44.0,97.07,6,North,2026-02-25
87,32.0,59.66,5,North,2026-02-27
88,38.0,117.03,3,East,2026-02-25
89,44.0,155.34,3,South,2026-02-26
90,43.0,75.37,4,South,2026-02-28
91,46.0,88.72,5,South,2026-02-25
92,37.0,80.44,5,East,2026-03-01
93,33.0,71.75,1,South,2026-02-27
94,37.0,38.22,3,East,2026-02-25
95,18.0,35.61,5,West,2026-02-26
96,21.0,116.51,5,South,2026-02-25
97,22.0,157.37,2,West,2026-03-01
98,26.0,59.57,7,East,2026-02-27
99,43.0,58.46,4,North,2026-02-26
100,27.0,10.99,7,South,2026-02-26
101,33.0,8.61,2,East,2026-02-25
102,54.0,185.41,6,West,2026-02-27
103,34.0,40.49,4,South,2026-02-26
104,47.0,321.8,4,North,2026-02-27
105,27.0,46.96,4,East,2026-02-25
106,36.0,15.96,3,North,2026-03-01
107,27.0,80.93,5,East,2026-02-28
108,34.0,130.96,6,South,2026-03-01
109,48.0,120.91,4,East,2026-02-26
110,18.0,140.18,4,West,2026-02-28
111,43.0,31.58,4,East,2026-02-28
112,41.0,182.44,5,East,2026-02-25
113,31.0,189.69,3,East,2026-02-28
114,21.0,195.26,4,West,2026-03-01
115,39.0,91.02,5,West,2026-03-01
116,32.0,55.89,6,North,2026-02-28
117,41.0,51.84,7,East,2026-02-25
118,38.0,15.86,3,North,2026-02-27
119,57.0,47.85,3,West,2026-02-25
120,35.0,4.17,3,East,2026-02-28
121,26.0,13.5,2,South,2026-02-28
122,40.0,90.33,6,North,2026-03-01
123,41.0,61.22,1,South,2026-02-28
124,54.0,87.45,2,East,2026-02-27
125,48.0,124.01,5,North,2026-02-25
126,42.0,99.67,6,North,2026-02-28
127,56.0,93.57,2,West,2026-02-26
128,24.0,70.05,6,East,2026-02-26
129,30.0,39.19,5,North,2026-02-28
130,27.0,23.45,4,North,2026-02-25
131,33.0,48.94,3,West,2026-02-27
132,21.0,70.97,6,East,2026-03-01
133,46.0,78.01,2,East,2026-02-25
134,35.0,140.39,3,South,2026-02-25
135,20.0,66.1,5,North,2026-03-01
136,26.0,111.59,8,North,2026-02-25
137,42.0,18.41,7,East,2026-02-25
138,48.0,91.28,5,North,2026-02-25
139,62.0,86.58,5,North,2026-02-28
140,73.0,182.49,3,East,2026-02-26
141,43.0,61.27,3,West,2026-02-27
