order_id,customer_age,order_value,items_in_order,region,last_updated
5001,41.0,160.91,3.0,West,2026-07-05
5002,51.0,320.73,3.0,East,2026-06-22
5003,55.0,130.28,2.0,South,2026-07-29
5004,35.0,222.45,4.0,South,2026-06-23
5005,26.0,246.4,5.0,South,2026-07-20
5006,44.0,383.23,4.0,West,2026-06-30
5007,44.0,237.19,6.0,North,2026-07-23
5008,42.0,123.6,6.0,North,2026-07-02
5009,61.0,257.5,7.0,South,2026-07-03
5010,71.0,143.0,4.0,East,2026-07-02
5011,41.0,89.41,5.0,East,2026-07-28
5012,57.0,200.62,4.0,South,2026-07-08
5013,,46.34,5.0,North,2026-07-19
5014,57.0,116.67,5.0,East,2026-07-06
5015,62.0,59.61,5.0,South,2026-06-19
5016,42.0,268.23,5.0,North,2026-07-24
5017,57.0,97.26,6.0,East,2026-07-06
5018,75.0,242.26,4.0,South,2026-07-07
5019,58.0,219.21,1.0,North,2026-07-26
5020,38.0,138.13,9.0,North,2026-07-02
5021,56.0,195.01,2.0,South,2026-07-04
5022,65.0,299.72,2.0,North,2026-07-11
5023,52.0,102.68,2.0,South,2026-06-27
5024,39.0,51.48,7.0,West,2026-07-02
5025,69.0,217.05,3.0,South,2026-07-22
5026,30.0,349.15,3.0,North,2026-07-12
5027,54.0,230.04,5.0,South,2026-07-24
5028,47.0,277.09,1.0,West,2026-06-26
5029,30.0,228.25,2.0,West,2026-07-04
5030,64.0,50.48,6.0,,2026-06-30
5031,52.0,134.33,5.0,West,2026-07-09
5032,31.0,118.87,1.0,East,2026-07-28
5033,55.0,194.45,7.0,East,2026-07-27
5034,41.0,226.23,4.0,South,2026-06-28
5035,20.0,212.59,4.0,North,2026-07-05
5036,37.0,297.67,7.0,,2026-07-20
5037,51.0,140.71,7.0,East,2026-07-05
5038,56.0,326.77,4.0,West,2026-07-29
5039,49.0,56.68,5.0,South,2026-07-16
5040,48.0,209.17,5.0,West,2026-07-27
5041,54.0,81.68,3.0,North,2026-07-11
5042,44.0,69.08,4.0,West,2026-07-18
5043,63.0,334.14,4.0,West,2026-06-24
5044,49.0,129.9,,North,2026-07-09
5045,51.0,183.15,8.0,South,2026-06-18
5046,55.0,479.95,5.0,West,2026-07-18
5047,32.0,108.73,1.0,,2026-06-24
5048,37.0,385.73,8.0,East,2026-07-23
5049,68.0,97.09,2.0,North,2026-07-01
5050,52.0,155.87,2.0,North,2026-06-28
5051,,97.85,4.0,North,2026-06-20
5052,52.0,190.39,3.0,West,2026-07-16
